@RELATION forexPriceTestSet

@ATTRIBUTE open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE close real
@ATTRIBUTE close2 real

@data
0.955830,0.956020,0.955830,0.955950,0.956250
0.956330,0.956330,0.956230,0.956250,0.956220
0.956350,0.956350,0.956220,0.956220,0.956280
0.956190,0.956300,0.956190,0.956280,0.956220
0.956420,0.956420,0.956190,0.956220,0.955230
0.955360,0.955430,0.955230,0.955230,0.956200
0.956200,0.956200,0.956200,0.956200,0.956210
0.956210,0.956230,0.956210,0.956210,0.955550
0.955550,0.955560,0.955510,0.955550,0.955870
0.955860,0.955890,0.955860,0.955870,0.955830
0.955810,0.955830,0.955810,0.955830,0.956180
0.956140,0.956180,0.956140,0.956180,0.956070
0.956070,0.956080,0.956070,0.956070,0.956030
0.956000,0.956030,0.956000,0.956030,0.955420
0.955510,0.955740,0.955320,0.955420,0.953740
0.953660,0.953870,0.953660,0.953740,0.951170
0.950860,0.951230,0.950840,0.951170,0.950520
0.950640,0.950640,0.950450,0.950520,0.950730
0.950620,0.950760,0.950580,0.950730,0.951300
0.951270,0.951340,0.951210,0.951300,0.951910
0.951790,0.951910,0.951790,0.951910,0.952680
0.952600,0.952680,0.952580,0.952680,0.954090
0.953960,0.954130,0.953960,0.954090,0.954410
0.954350,0.954480,0.954350,0.954410,0.954520
0.954500,0.954590,0.954420,0.954520,0.956520
0.956350,0.956520,0.956350,0.956520,0.956450
0.956510,0.956530,0.956450,0.956450,0.956690
0.956680,0.956710,0.956670,0.956690,0.955960
0.955860,0.956000,0.955860,0.955960,0.956220
0.956210,0.956220,0.956210,0.956220,0.956080
0.956080,0.956080,0.956080,0.956080,0.956020
0.956210,0.956210,0.955900,0.956020,0.955680
0.955680,0.955680,0.955650,0.955680,0.955590
0.955590,0.955590,0.955580,0.955590,0.955510
0.955510,0.955510,0.955510,0.955510,0.955290
0.955290,0.955290,0.955290,0.955290,0.955320
0.955270,0.955320,0.955270,0.955320,0.955500
0.955460,0.955500,0.955440,0.955500,0.955680
0.955810,0.955810,0.955600,0.955680,0.953210
0.952950,0.953230,0.952950,0.953210,0.955320
0.955160,0.955330,0.955130,0.955320,0.957620
0.957390,0.957620,0.957390,0.957620,0.957620
0.957910,0.957910,0.957620,0.957620,0.957690
0.957850,0.958100,0.957650,0.957690,0.956860
0.956730,0.956860,0.956670,0.956860,0.957810
0.958040,0.958090,0.957630,0.957810,0.956310
0.956280,0.956330,0.956170,0.956310,0.956320
0.956210,0.956340,0.955990,0.956320,0.956690
0.956870,0.956870,0.956690,0.956690,0.957870
0.957900,0.957910,0.957860,0.957870,0.959150
0.959180,0.959180,0.958960,0.959150,0.959400
0.959370,0.959410,0.959370,0.959400,0.959470
0.959080,0.959470,0.959080,0.959470,0.959230
0.959240,0.959240,0.959180,0.959230,0.959180
0.959180,0.959180,0.959180,0.959180,0.959160
0.959170,0.959180,0.959160,0.959160,0.959370
0.959360,0.959410,0.959360,0.959370,0.959020
0.959070,0.959070,0.959020,0.959020,0.959590
0.959580,0.959590,0.959580,0.959590,0.959120
0.959100,0.959120,0.959100,0.959120,0.959560
0.959400,0.959560,0.959400,0.959560,0.958630
0.958590,0.958630,0.958540,0.958630,0.959920
0.960060,0.960090,0.959920,0.959920,0.960580
0.960500,0.960700,0.960500,0.960580,0.962550
0.962640,0.962640,0.962540,0.962550,0.961690
0.961690,0.961790,0.961590,0.961690,0.961970
0.961960,0.962070,0.961920,0.961970,0.969470
0.970210,0.970310,0.969470,0.969470,0.970840
0.971300,0.971340,0.970800,0.970840,0.971330
0.971330,0.971380,0.971070,0.971330,0.971040
0.971240,0.971240,0.970910,0.971040,0.971570
0.971300,0.971570,0.971230,0.971570,0.973020
0.973170,0.973170,0.972830,0.973020,0.973380
0.973550,0.973550,0.973380,0.973380,0.973010
0.972970,0.973020,0.972970,0.973010,0.973040
0.973040,0.973050,0.973030,0.973040,0.973120
0.972980,0.973120,0.972960,0.973120,0.973040
0.973070,0.973140,0.973040,0.973040,0.973580
0.973570,0.973600,0.973570,0.973580,0.973560
0.973570,0.973580,0.973560,0.973560,0.973230
0.973320,0.973340,0.973220,0.973230,0.973060
0.973100,0.973100,0.973040,0.973060,0.972780
0.972800,0.972800,0.972770,0.972780,0.973320
0.973330,0.973330,0.973320,0.973320,0.973130
0.972960,0.973140,0.972960,0.973130,0.972820
0.972960,0.972970,0.972800,0.972820,0.973490
0.973830,0.973830,0.973410,0.973490,0.972180
0.971990,0.972190,0.971990,0.972180,0.973660
0.973520,0.973660,0.973520,0.973660,0.974190
0.974240,0.974300,0.974180,0.974190,0.973990
0.974220,0.974220,0.973890,0.973990,0.976570
0.976220,0.976630,0.976180,0.976570,0.978320
0.978680,0.978680,0.978310,0.978320,0.976570
0.976050,0.976690,0.976050,0.976570,0.976550
0.976630,0.976770,0.976470,0.976550,0.979100
0.978900,0.979140,0.978900,0.979100,0.979700
0.979740,0.979740,0.979690,0.979700,0.979810
0.979840,0.979840,0.979810,0.979810,0.979400
0.979300,0.979400,0.979300,0.979400,0.978550
0.978570,0.978570,0.978550,0.978550,0.979170
0.979220,0.979220,0.979170,0.979170,0.978780
0.978760,0.978780,0.978760,0.978780,0.978750
0.978790,0.978790,0.978720,0.978750,0.978710
0.978830,0.978830,0.978710,0.978710,0.977510
0.977700,0.977700,0.977510,0.977510,0.977240
0.977210,0.977340,0.977180,0.977240,0.976170
0.976180,0.976180,0.976160,0.976170,0.976410
0.976410,0.976440,0.976400,0.976410,0.976480
0.976430,0.976480,0.976430,0.976480,0.977730
0.977670,0.977780,0.977670,0.977730,0.976480
0.976560,0.976590,0.976320,0.976480,0.977060
0.977000,0.977070,0.976910,0.977060,0.979840
0.979890,0.979900,0.979780,0.979840,0.980670
0.980840,0.980840,0.980630,0.980670,0.981500
0.981690,0.981690,0.981480,0.981500,0.982470
0.982540,0.982610,0.982390,0.982470,0.981280
0.980580,0.981290,0.980580,0.981280,0.980670
0.980600,0.980720,0.980580,0.980670,0.981510
0.981770,0.981800,0.981510,0.981510,0.982080
0.982060,0.982220,0.982000,0.982080,0.983020
0.983010,0.983020,0.983010,0.983020,0.983540
0.983440,0.983540,0.983440,0.983540,0.982910
0.982920,0.982930,0.982910,0.982910,0.983510
0.983490,0.983510,0.983490,0.983510,0.982810
0.982770,0.982840,0.982770,0.982810,0.982640
0.982650,0.982650,0.982640,0.982640,0.982610
0.982590,0.982660,0.982590,0.982610,0.983110
0.983110,0.983190,0.983100,0.983110,0.981350
0.981360,0.981370,0.981350,0.981350,0.981070
0.981040,0.981070,0.981030,0.981070,0.981230
0.981240,0.981250,0.981230,0.981230,0.980950
0.980960,0.981000,0.980880,0.980950,0.982610
0.982520,0.982640,0.982520,0.982610,0.982350
0.982340,0.982470,0.982340,0.982350,0.983400
0.983380,0.983440,0.983360,0.983400,0.984330
0.984380,0.984400,0.984300,0.984330,0.984420
0.984390,0.984420,0.984370,0.984420,0.984310
0.984340,0.984390,0.984170,0.984310,0.984430
0.984550,0.984610,0.984360,0.984430,0.984350
0.984640,0.984640,0.984030,0.984350,0.984410
0.984450,0.984510,0.984260,0.984410,0.985170
0.985150,0.985350,0.985020,0.985170,0.985390
0.985560,0.985580,0.985380,0.985390,0.986330
0.986180,0.986350,0.986180,0.986330,0.986200
0.986140,0.986200,0.986140,0.986200,0.986650
0.986620,0.986810,0.986620,0.986650,0.986580
0.986780,0.986790,0.986580,0.986580,0.986460
0.986400,0.986480,0.986400,0.986460,0.986700
0.986500,0.986700,0.986500,0.986700,0.987020
0.987060,0.987060,0.987020,0.987020,0.986670
0.986660,0.986680,0.986660,0.986670,0.986860
0.986650,0.986860,0.986630,0.986860,0.986560
0.986580,0.986620,0.986560,0.986560,0.986710
0.986730,0.986730,0.986700,0.986710,0.986240
0.986270,0.986270,0.986220,0.986240,0.986370
0.986390,0.986390,0.986360,0.986370,0.986970
0.986660,0.986970,0.986660,0.986970,0.986470
0.986200,0.986480,0.986200,0.986470,0.985200
0.985220,0.985250,0.985180,0.985200,0.983330
0.983550,0.983700,0.983330,0.983330,0.983370
0.983400,0.983400,0.983360,0.983370,0.984380
0.984390,0.984410,0.984320,0.984380,0.983940
0.983520,0.983950,0.983450,0.983940,0.984280
0.984200,0.984280,0.984040,0.984280,0.983330
0.983460,0.983460,0.983260,0.983330,0.984920
0.985370,0.985390,0.984920,0.984920,0.984260
0.984490,0.984660,0.984260,0.984260,0.988330
0.987410,0.988380,0.987410,0.988330,0.994560
0.994530,0.994740,0.994530,0.994560,0.994510
0.994640,0.994660,0.994490,0.994510,0.993980
0.993930,0.993980,0.993930,0.993980,0.993770
0.993770,0.993870,0.993730,0.993770,0.993640
0.993640,0.993640,0.993640,0.993640,0.993760
0.993550,0.993780,0.993520,0.993760,0.995040
0.995180,0.995200,0.995040,0.995040,0.994620
0.994720,0.994720,0.994580,0.994620,0.993480
0.993450,0.993480,0.993440,0.993480,0.993970
0.993960,0.993980,0.993960,0.993970,0.994010
0.994010,0.994140,0.994000,0.994010,0.993910
0.993860,0.993910,0.993850,0.993910,0.993940
0.993490,0.993960,0.993490,0.993940,0.993360
0.992930,0.993440,0.992920,0.993360,0.991390
0.991540,0.991540,0.991280,0.991390,0.989940
0.990110,0.990140,0.989940,0.989940,0.989730
0.989770,0.989900,0.989720,0.989730,0.989980
0.989850,0.990050,0.989850,0.989980,0.991670
0.990960,0.991670,0.990930,0.991670,0.989730
0.989720,0.989770,0.989420,0.989730,0.991120
0.990890,0.991160,0.990840,0.991120,0.991640
0.991770,0.992170,0.991640,0.991640,0.991180
0.990950,0.991180,0.990850,0.991180,0.990880
0.990840,0.990890,0.990840,0.990880,0.990440
0.990420,0.990510,0.990310,0.990440,0.989580
0.989490,0.989580,0.989490,0.989580,0.989250
0.989260,0.989260,0.989250,0.989250,0.989000
0.989000,0.989000,0.989000,0.989000,0.989070
0.989070,0.989070,0.989070,0.989070,0.989330
0.989360,0.989360,0.989330,0.989330,0.989140
0.989000,0.989170,0.988990,0.989140,0.990020
0.989890,0.990030,0.989890,0.990020,0.989280
0.989270,0.989280,0.989270,0.989280,0.990180
0.990150,0.990180,0.990060,0.990180,0.990210
0.990130,0.990270,0.990120,0.990210,0.990010
0.990320,0.990320,0.989980,0.990010,0.990010
0.989780,0.990010,0.989780,0.990010,0.987310
0.987790,0.987790,0.987270,0.987310,0.987590
0.987530,0.987730,0.987530,0.987590,0.987580
0.987470,0.987730,0.987410,0.987580,0.987950
0.987760,0.987980,0.987760,0.987950,0.988940
0.988720,0.988940,0.988700,0.988940,0.990200
0.990570,0.990590,0.990190,0.990200,0.988410
0.988140,0.988620,0.987840,0.988410,0.985990
0.986370,0.986370,0.985890,0.985990,0.984650
0.984870,0.985020,0.984540,0.984650,0.986780
0.986880,0.986890,0.986740,0.986780,0.987290
0.987090,0.987300,0.987090,0.987290,0.988070
0.987920,0.988070,0.987800,0.988070,0.988560
0.988560,0.988580,0.988550,0.988560,0.985480
0.985150,0.985480,0.984630,0.985480,0.986410
0.985990,0.986490,0.985990,0.986410,0.986400
0.986380,0.986400,0.986370,0.986400,0.986840
0.986750,0.986840,0.986750,0.986840,0.987160
0.987160,0.987190,0.987140,0.987160,0.987130
0.987130,0.987150,0.987110,0.987130,0.987040
0.987060,0.987060,0.987040,0.987040,0.986900
0.986870,0.986910,0.986870,0.986900,0.986430
0.986450,0.986450,0.986430,0.986430,0.986020
0.986040,0.986130,0.986020,0.986020,0.987550
0.987550,0.987710,0.987520,0.987550,0.988380
0.988310,0.988410,0.988280,0.988380,0.985870
0.985890,0.985940,0.985870,0.985870,0.986940
0.986950,0.986950,0.986930,0.986940,0.986380
0.986220,0.986400,0.986180,0.986380,0.985410
0.985730,0.985730,0.985370,0.985410,0.985400
0.985860,0.985860,0.985310,0.985400,0.984490
0.984430,0.984600,0.984420,0.984490,0.985750
0.985700,0.985880,0.985530,0.985750,0.986260
0.986280,0.986280,0.986250,0.986260,0.985820
0.985740,0.985860,0.985730,0.985820,0.986870
0.986410,0.986870,0.986410,0.986870,0.986580
0.986490,0.986580,0.986490,0.986580,0.985780
0.985800,0.985800,0.985780,0.985780,0.987090
0.987140,0.987150,0.987090,0.987090,0.986890
0.986910,0.986910,0.986890,0.986890,0.987190
0.987180,0.987250,0.987180,0.987190,0.987050
0.987090,0.987090,0.987050,0.987050,0.986960
0.987010,0.987010,0.986960,0.986960,0.986840
0.986800,0.986840,0.986800,0.986840,0.986810
0.986780,0.986810,0.986780,0.986810,0.986960
0.986960,0.986960,0.986960,0.986960,0.985830
0.985910,0.985910,0.985830,0.985830,0.985440
0.985520,0.985540,0.985390,0.985440,0.988140
0.988120,0.988190,0.988100,0.988140,0.988930
0.988980,0.989170,0.988910,0.988930,0.988990
0.988980,0.988990,0.988970,0.988990,0.990200
0.990450,0.990450,0.990130,0.990200,0.989660
0.989640,0.989720,0.989550,0.989660,0.991360
0.991310,0.991400,0.991310,0.991360,0.991360
0.991480,0.991500,0.991130,0.991360,0.990210
0.990650,0.990720,0.990210,0.990210,0.991560
0.991420,0.991560,0.991380,0.991560,0.990810
0.990960,0.990990,0.990810,0.990810,0.991860
0.991840,0.991860,0.991780,0.991860,0.990580
0.990420,0.990600,0.990420,0.990580,0.990450
0.990430,0.990470,0.990430,0.990450,0.991000
0.990910,0.991000,0.990910,0.991000,0.990880
0.990990,0.991010,0.990770,0.990880,0.991030
0.991030,0.991030,0.991030,0.991030,0.991380
0.991410,0.991410,0.991380,0.991380,0.991450
0.991410,0.991470,0.991390,0.991450,0.992050
0.992030,0.992060,0.992030,0.992050,0.991370
0.991340,0.991370,0.991340,0.991370,0.991940
0.992110,0.992110,0.991940,0.991940,0.991910
0.991820,0.991920,0.991820,0.991910,0.992100
0.992010,0.992100,0.991950,0.992100,0.992000
0.992320,0.992320,0.992000,0.992000,0.991640
0.991660,0.991910,0.991570,0.991640,0.989770
0.990680,0.990690,0.989430,0.989770,0.990270
0.990390,0.990390,0.990230,0.990270,0.989610
0.989720,0.989770,0.989560,0.989610,0.989070
0.989080,0.989190,0.989020,0.989070,0.990950
0.991140,0.991140,0.990950,0.990950,0.992580
0.992320,0.992580,0.992010,0.992580,0.993290
0.992890,0.993340,0.992890,0.993290,0.993650
0.993520,0.993660,0.993520,0.993650,0.994440
0.994430,0.994490,0.994390,0.994440,0.994720
0.994750,0.994850,0.994660,0.994720,0.994120
0.994150,0.994150,0.994120,0.994120,0.993470
0.993460,0.993510,0.993460,0.993470,0.993270
0.993270,0.993270,0.993270,0.993270,0.993260
0.993270,0.993330,0.993210,0.993260,0.993240
0.993290,0.993290,0.993210,0.993240,0.993180
0.993180,0.993190,0.993140,0.993180,0.992760
0.992770,0.992770,0.992710,0.992760,0.993240
0.993230,0.993240,0.993210,0.993240,0.993060
0.993030,0.993060,0.993030,0.993060,0.993230
0.993260,0.993260,0.993230,0.993230,0.993260
0.993290,0.993290,0.993250,0.993260,0.994670
0.994750,0.994880,0.994630,0.994670,0.996700
0.997060,0.997070,0.996700,0.996700,0.995070
0.994910,0.995080,0.994780,0.995070,0.996980
0.996980,0.997030,0.996790,0.996980,0.996460
0.996530,0.996580,0.996340,0.996460,0.995930
0.996200,0.996210,0.995790,0.995930,0.995740
0.995800,0.995890,0.995740,0.995740,0.995670
0.996090,0.996090,0.995660,0.995670,0.996070
0.996080,0.996210,0.996010,0.996070,0.997130
0.996960,0.997130,0.996710,0.997130,0.996390
0.996470,0.996570,0.996350,0.996390,0.996830
0.996820,0.996830,0.996790,0.996830,0.996730
0.996610,0.996730,0.996450,0.996730,0.995110
0.995180,0.995180,0.995070,0.995110,0.995460
0.995520,0.995520,0.995410,0.995460,0.995090
0.995080,0.995100,0.995080,0.995090,0.995440
0.995420,0.995440,0.995420,0.995440,0.995110
0.995160,0.995250,0.995090,0.995110,0.995260
0.995240,0.995260,0.995240,0.995260,0.995070
0.995090,0.995090,0.995070,0.995070,0.994920
0.994920,0.994920,0.994920,0.994920,0.995100
0.995100,0.995100,0.995100,0.995100,0.995630
0.995630,0.995630,0.995600,0.995630,0.995660
0.995650,0.995660,0.995650,0.995660,0.996350
0.996540,0.996540,0.996350,0.996350,0.995450
0.995350,0.995600,0.995310,0.995450,0.995490
0.995240,0.995510,0.995240,0.995490,0.995570
0.995520,0.995610,0.995520,0.995570,0.995680
0.995650,0.995720,0.995560,0.995680,0.996390
0.996200,0.996430,0.996170,0.996390,0.996290
0.996430,0.996430,0.996290,0.996290,1.006090
1.005720,1.006150,1.005700,1.006090,1.003500
1.003080,1.003500,1.003080,1.003500,1.004860
1.004770,1.004990,1.004710,1.004860,1.005130
1.004920,1.005130,1.004830,1.005130,1.006370
1.005860,1.006380,1.005860,1.006370,1.006440
1.006340,1.006460,1.006250,1.006440,1.006150
1.006100,1.006200,1.006080,1.006150,1.005630
1.005650,1.005650,1.005600,1.005630,1.004830
1.004500,1.004830,1.004500,1.004830,1.005970
1.005960,1.005980,1.005960,1.005970,1.005500
1.005650,1.005650,1.005490,1.005500,1.006030
1.006030,1.006030,1.006030,1.006030,1.005380
1.005420,1.005420,1.005360,1.005380,1.004250
1.004280,1.004300,1.004140,1.004250,1.004200
1.004250,1.004260,1.004190,1.004200,1.004120
1.004120,1.004130,1.004120,1.004120,1.003880
1.003890,1.003930,1.003880,1.003880,1.003830
1.003810,1.003840,1.003790,1.003830,1.001420
1.001360,1.001440,1.001220,1.001420,1.003000
1.003110,1.003300,1.002860,1.003000,1.003640
1.003640,1.003780,1.003520,1.003640,1.003310
1.003220,1.003410,1.003200,1.003310,1.002600
1.002690,1.002710,1.002560,1.002600,1.003630
1.003790,1.003790,1.003610,1.003630,1.005320
1.005420,1.005430,1.005210,1.005320,1.004680
1.004580,1.004680,1.004520,1.004680,1.003550
1.003410,1.003630,1.003340,1.003550,1.002030
1.001940,1.002060,1.001940,1.002030,1.002540
1.002650,1.002650,1.002520,1.002540,1.002790
1.002760,1.002820,1.002760,1.002790,1.003340
1.003280,1.003340,1.003280,1.003340,1.003390
1.003320,1.003410,1.003310,1.003390,1.003300
1.003210,1.003300,1.002970,1.003300,1.003350
1.003590,1.003590,1.003320,1.003350,1.003260
1.003220,1.003280,1.003220,1.003260,1.003010
1.003020,1.003020,1.002990,1.003010,1.003610
1.003630,1.003770,1.003610,1.003610,1.003780
1.003790,1.003800,1.003760,1.003780,1.004250
1.004250,1.004250,1.004250,1.004250,1.004550
1.004600,1.004600,1.004500,1.004550,1.004260
1.004240,1.004270,1.004240,1.004260,1.004420
1.004380,1.004430,1.004350,1.004420,1.002980
1.003120,1.003210,1.002850,1.002980,1.003440
1.003230,1.003450,1.003210,1.003440,1.004240
1.003930,1.004240,1.003900,1.004240,1.004130
1.004190,1.004190,1.004030,1.004130,1.004500
1.004350,1.004540,1.004320,1.004500,1.005710
1.005550,1.005890,1.005550,1.005710,1.007220
1.007230,1.007270,1.007110,1.007220,1.007440
1.007530,1.007600,1.007360,1.007440,1.006740
1.006490,1.006740,1.006470,1.006740,1.007930
