@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
-1.2589913011548225E-4,-3.005309910575982E-4,stall
-3.005309910575982E-4,-3.2658990378924913E-4,stall
-3.2658990378924913E-4,-3.9717643896097386E-4,stall
-3.9717643896097386E-4,-2.460066879175185E-4,stall
-2.460066879175185E-4,-9.722535596665442E-5,stall
-9.722535596665442E-5,2.7164954834477638E-5,buy
2.7164954834477638E-5,-6.885014522401388E-6,sell
-6.885014522401388E-6,-1.7864676218986523E-4,stall
-1.7864676218986523E-4,-2.8563716416364973E-4,stall
-2.8563716416364973E-4,-2.6855112972647144E-4,stall
-2.6855112972647144E-4,-2.633247138632668E-4,stall
-2.633247138632668E-4,-3.749718659971624E-4,stall
-3.749718659971624E-4,-4.689264251604968E-4,stall
-4.689264251604968E-4,-5.215468661409857E-4,stall
-5.215468661409857E-4,-5.085748296078294E-4,stall
-5.085748296078294E-4,-4.967694043441699E-4,stall
-4.967694043441699E-4,-5.062416394241373E-4,stall
-5.062416394241373E-4,-5.165509196284955E-4,stall
-5.165509196284955E-4,-5.1481808711436E-4,stall
-5.1481808711436E-4,-5.344492570235856E-4,stall
-5.344492570235856E-4,-4.943861465940918E-4,stall
-4.943861465940918E-4,-4.810606733159316E-4,stall
-4.810606733159316E-4,-5.006885343482334E-4,stall
-5.006885343482334E-4,-4.998720366279812E-4,stall
-4.998720366279812E-4,-3.8431299475720005E-4,stall
-3.8431299475720005E-4,-2.84342204343731E-4,stall
-2.84342204343731E-4,-6.918453102626866E-5,stall
-6.918453102626866E-5,1.0174966842951502E-4,buy
1.0174966842951502E-4,2.3577288995330916E-4,stall
2.3577288995330916E-4,2.235879612400972E-4,stall
2.235879612400972E-4,2.0157835807442666E-4,stall
2.0157835807442666E-4,1.2049834360484805E-4,stall
1.2049834360484805E-4,4.657497615659801E-5,stall
4.657497615659801E-5,-1.3077462398444967E-4,sell
-1.3077462398444967E-4,-1.801980670048458E-4,stall
-1.801980670048458E-4,-2.5173745198630595E-4,stall
-2.5173745198630595E-4,-1.547634255321962E-4,stall
-1.547634255321962E-4,-2.646051255534947E-5,stall
-2.646051255534947E-5,9.439154528253645E-5,buy
9.439154528253645E-5,2.21892095340045E-4,stall
2.21892095340045E-4,2.7808536474489734E-4,stall
2.7808536474489734E-4,3.415264227753504E-4,stall
3.415264227753504E-4,3.2882496482753375E-4,stall
3.2882496482753375E-4,3.3979100927055534E-4,stall
3.3979100927055534E-4,2.7362099246217E-4,stall
2.7362099246217E-4,2.0534470226365445E-4,stall
2.0534470226365445E-4,1.24181311871414E-4,stall
1.24181311871414E-4,1.3846777700931754E-4,stall
1.3846777700931754E-4,-1.7589566865619695E-5,sell
-1.7589566865619695E-5,-6.074577982782088E-6,stall
-6.074577982782088E-6,8.41162763413005E-6,buy
8.41162763413005E-6,7.439752611706888E-5,stall
7.439752611706888E-5,2.3859503108900493E-4,stall
2.3859503108900493E-4,3.013977876596553E-4,stall
3.013977876596553E-4,3.2411070491603685E-4,stall
3.2411070491603685E-4,3.6380091308257294E-4,stall
3.6380091308257294E-4,4.354730683700796E-4,stall
4.354730683700796E-4,3.5779161184759135E-4,stall
3.5779161184759135E-4,2.2421645422047868E-4,stall
2.2421645422047868E-4,1.1506806438242763E-4,stall
1.1506806438242763E-4,-9.456418632432934E-5,sell
-9.456418632432934E-5,-1.5877639323915176E-4,stall
-1.5877639323915176E-4,-1.9320815754399158E-4,stall
-1.9320815754399158E-4,-2.4182850201023257E-4,stall
-2.4182850201023257E-4,-2.8666938919916316E-4,stall
-2.8666938919916316E-4,-2.463652950872371E-4,stall
-2.463652950872371E-4,-1.7339056624406319E-4,stall
-1.7339056624406319E-4,-1.8739157220692038E-4,stall
-1.8739157220692038E-4,-1.775268513601806E-4,stall
-1.775268513601806E-4,-1.2920352505573743E-4,stall
-1.2920352505573743E-4,-8.326450981481297E-5,stall
-8.326450981481297E-5,-1.0294149088888429E-4,stall
-1.0294149088888429E-4,2.1703897327997584E-6,buy
2.1703897327997584E-6,1.5700806710048547E-4,stall
1.5700806710048547E-4,2.8667496260721985E-4,stall
2.8667496260721985E-4,3.5546213487537516E-4,stall
3.5546213487537516E-4,3.108373618724621E-4,stall
3.108373618724621E-4,1.769755460608465E-4,stall
1.769755460608465E-4,4.293517627799266E-5,stall
4.293517627799266E-5,-5.301769268039637E-5,sell
-5.301769268039637E-5,-1.888702849313043E-4,stall
-1.888702849313043E-4,-3.313301569514561E-4,stall
-3.313301569514561E-4,-3.0122956110417666E-4,stall
-3.0122956110417666E-4,-2.3214766720491787E-4,stall
-2.3214766720491787E-4,-2.132011098943561E-4,stall
-2.132011098943561E-4,-2.261856916611646E-4,stall
-2.261856916611646E-4,-1.9927564590403062E-4,stall
-1.9927564590403062E-4,-2.0575279749717747E-4,stall
-2.0575279749717747E-4,-2.5851314450284343E-4,stall
-2.5851314450284343E-4,-2.801301926201882E-4,stall
-2.801301926201882E-4,-3.2385156098007164E-4,stall
-3.2385156098007164E-4,-3.298959949433218E-4,stall
-3.298959949433218E-4,-3.4571803589176456E-4,stall
-3.4571803589176456E-4,-3.4243857699579124E-4,stall
-3.4243857699579124E-4,-2.4106242640842767E-4,stall
-2.4106242640842767E-4,-1.8826519051505074E-4,stall
-1.8826519051505074E-4,-1.9633467319931308E-4,stall
-1.9633467319931308E-4,-2.63381739550243E-4,stall
-2.63381739550243E-4,-2.8542224463124687E-4,stall
-2.8542224463124687E-4,-2.870202238757951E-4,stall
-2.870202238757951E-4,-3.0442340345878934E-4,stall
