timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.02 09:00',1.08432,1.08453,1.08428,1.08446,1.085724,1.086204,-0.000345,-0.000135,-0.000158
'2016.03.02 10:00',1.08389,1.08409,1.08385,1.08399,1.085457,1.08604,-0.000392,-0.00019,-0.00021
'2016.03.02 11:00',1.08271,1.08289,1.08271,1.08277,1.085044,1.085798,-0.000465,-0.000289,-0.000333
'2016.03.02 12:00',1.0844,1.08459,1.08436,1.08436,1.084939,1.085691,-0.000522,-0.00023,-0.000174
'2016.03.02 13:00',1.08522,1.08522,1.08514,1.08514,1.08497,1.085651,-0.000554,-0.000127,-0.00005
'2016.03.02 14:00',1.08688,1.08694,1.08672,1.08674,1.085242,1.085731,-0.000541,0.000052,0.000173
'2016.03.02 15:00',1.08645,1.08675,1.08644,1.08674,1.085472,1.085806,-0.0005,0.000166,0.000246
'2016.03.02 16:00',1.08656,1.08658,1.08643,1.08654,1.085637,1.08586,-0.000444,0.000221,0.000255
'2016.03.02 17:00',1.08674,1.08698,1.08656,1.08685,1.085823,1.085934,-0.000378,0.000267,0.000298
'2016.03.02 18:00',1.08696,1.08696,1.08678,1.08695,1.085997,1.086009,-0.000304,0.000292,0.000303
'2016.03.02 19:00',1.08691,1.08694,1.08674,1.08674,1.086111,1.086063,-0.000234,0.000282,0.000272
'2016.03.02 20:00',1.08703,1.08704,1.0869,1.08692,1.086236,1.086127,-0.000165,0.000274,0.000265
'2016.03.02 21:00',1.08725,1.08736,1.08723,1.08736,1.086409,1.086218,-0.000094,0.000285,0.000288
'2016.03.02 22:00',1.08668,1.08675,1.08664,1.08664,1.086444,1.086249,-0.000036,0.000231,0.000195
'2016.03.02 23:00',1.08572,1.08583,1.08571,1.08583,1.08635,1.086218,-0.000003,0.000134,0.000073
'2016.03.03 00:00',1.08588,1.08588,1.08585,1.08585,1.086273,1.086191,0.000014,0.000068,0.000025
'2016.03.03 01:00',1.08584,1.08584,1.08562,1.08565,1.086177,1.086151,0.000017,0.00001,-0.000027
'2016.03.03 02:00',1.08591,1.0863,1.08589,1.086,1.08615,1.08614,0.000015,-0.000005,-0.000004
'2016.03.03 03:00',1.08693,1.08713,1.08662,1.08713,1.086301,1.086213,0.00003,0.000058,0.000098
'2016.03.03 04:00',1.08761,1.0877,1.08732,1.08754,1.086491,1.086311,0.00006,0.00012,0.000157
'2016.03.03 05:00',1.08665,1.08678,1.08665,1.08671,1.086525,1.086341,0.000085,0.000099,0.000087
'2016.03.03 06:00',1.08791,1.08795,1.08783,1.08793,1.086741,1.086459,0.000124,0.000158,0.000191
'2016.03.03 07:00',1.08808,1.08824,1.08804,1.08816,1.086959,1.086585,0.000174,0.0002,0.000224
'2016.03.03 08:00',1.09068,1.09102,1.09068,1.09084,1.087556,1.0869,0.000271,0.000386,0.000495
