timestamp,open,high,low,close,close2
'2016.03.01 00:00',1.39317,1.39322,1.39307,1.39315,1.398975
'2016.03.01 01:00',1.39399,1.394,1.39392,1.39393,1.399653
'2016.03.01 02:00',1.394,1.3943,1.39392,1.39426,1.399912
'2016.03.01 03:00',1.39628,1.39632,1.39588,1.39614,1.401579
'2016.03.01 04:00',1.39499,1.39507,1.3945,1.39451,1.400323
'2016.03.01 05:00',1.39542,1.39594,1.39512,1.39518,1.400994
'2016.03.01 06:00',1.39972,1.39972,1.39939,1.39968,1.404611
'2016.03.01 07:00',1.39716,1.39754,1.3971,1.39745,1.402701
'2016.03.01 08:00',1.3985,1.3985,1.39841,1.39845,1.403567
'2016.03.01 09:00',1.39752,1.39765,1.39747,1.3975,1.402782
'2016.03.01 10:00',1.39383,1.39436,1.39338,1.39345,1.399547
'2016.03.01 11:00',1.39249,1.3926,1.39147,1.39174,1.398007
'2016.03.01 12:00',1.3946,1.39461,1.39427,1.39427,1.400038
'2016.03.01 13:00',1.39551,1.3957,1.39547,1.39555,1.401087
'2016.03.01 14:00',1.39749,1.39761,1.39746,1.39746,1.40275
'2016.03.01 15:00',1.39519,1.39549,1.39518,1.39547,1.400958
'2016.03.01 16:00',1.39558,1.39558,1.39509,1.3951,1.400802
'2016.03.01 17:00',1.3951,1.39533,1.39443,1.39448,1.400399
'2016.03.01 18:00',1.39504,1.39524,1.39488,1.3951,1.400679
'2016.03.01 19:00',1.39589,1.39598,1.39586,1.39598,1.401398
'2016.03.01 20:00',1.39578,1.39578,1.39558,1.39569,1.401172
'2016.03.01 21:00',1.39583,1.39586,1.39545,1.39547,1.401093
'2016.03.01 22:00',1.39546,1.39557,1.39546,1.39546,1.400998
'2016.03.01 23:00',1.39516,1.39537,1.39516,1.39518,1.400787
'2016.03.02 00:00',1.39572,1.39576,1.39569,1.39576,1.40121
'2016.03.02 01:00',1.39696,1.3972,1.39694,1.39713,1.402423
'2016.03.02 02:00',1.39773,1.39776,1.39674,1.39709,1.402558
'2016.03.02 03:00',1.39804,1.39811,1.39736,1.39774,1.403023
'2016.03.02 04:00',1.39451,1.39461,1.39434,1.39444,1.400124
'2016.03.02 05:00',1.39249,1.39288,1.39247,1.39276,1.398656
'2016.03.02 06:00',1.39717,1.3974,1.39695,1.3974,1.402606
'2016.03.02 07:00',1.40012,1.40037,1.3999,1.39998,1.405031
'2016.03.02 08:00',1.40148,1.40189,1.40148,1.4015,1.406381
'2016.03.02 09:00',1.40253,1.40253,1.40216,1.4023,1.406989
'2016.03.02 10:00',1.40263,1.40263,1.40249,1.40259,1.407184
'2016.03.02 11:00',1.40632,1.40652,1.40618,1.40618,1.410482
'2016.03.02 12:00',1.40556,1.40587,1.40536,1.40536,1.409821
'2016.03.02 13:00',1.40642,1.40643,1.40582,1.40585,1.410256
'2016.03.02 14:00',1.40754,1.40762,1.40737,1.40759,1.411596
'2016.03.02 15:00',1.40742,1.40742,1.4072,1.40722,1.411342
'2016.03.02 16:00',1.4077,1.40772,1.4077,1.40772,1.411719
'2016.03.02 17:00',1.40758,1.40773,1.40741,1.4076,1.411647
'2016.03.02 18:00',1.40763,1.40764,1.40744,1.40752,1.411575
'2016.03.02 19:00',1.40783,1.40783,1.4076,1.40764,1.411709
'2016.03.02 20:00',1.40736,1.40737,1.40722,1.40725,1.41134
'2016.03.02 21:00',1.40876,1.40889,1.40873,1.40886,1.412739
'2016.03.02 22:00',1.40785,1.40785,1.40757,1.40757,1.411682
'2016.03.02 23:00',1.40782,1.40783,1.40774,1.40777,1.411782
'2016.03.03 00:00',1.40781,1.40781,1.40777,1.40777,1.411778
'2016.03.03 01:00',1.40831,1.40834,1.40807,1.40808,1.41213
'2016.03.03 02:00',1.40887,1.40906,1.4086,1.4086,1.412674
'2016.03.03 03:00',1.41009,1.41009,1.40907,1.40974,1.413565
'2016.03.03 04:00',1.40584,1.40646,1.40561,1.40583,1.410276
'2016.03.03 05:00',1.4081,1.40819,1.40781,1.40797,1.412006
'2016.03.03 06:00',1.40703,1.4071,1.40675,1.407,1.411091
'2016.03.03 07:00',1.40542,1.40597,1.40528,1.40595,1.410119
'2016.03.03 08:00',1.40925,1.40972,1.40925,1.40963,1.413442
'2016.03.03 09:00',1.4089,1.4094,1.4088,1.40938,1.413175
'2016.03.03 10:00',1.41299,1.41445,1.41239,1.41445,1.417614
'2016.03.03 11:00',1.41557,1.41597,1.41549,1.41556,1.418907
'2016.03.03 12:00',1.41504,1.41514,1.41499,1.41499,1.418289
'2016.03.03 13:00',1.41432,1.41452,1.41432,1.41444,1.417763
'2016.03.03 14:00',1.4165,1.4165,1.41627,1.41631,1.419484
'2016.03.03 15:00',1.41725,1.4174,1.41718,1.4173,1.42035
'2016.03.03 16:00',1.41895,1.41897,1.41858,1.41866,1.421652
'2016.03.03 17:00',1.41728,1.41746,1.41724,1.41746,1.420451
'2016.03.03 18:00',1.41707,1.41707,1.41701,1.41707,1.420103
'2016.03.03 19:00',1.41711,1.41715,1.41696,1.41706,1.420124
'2016.03.03 20:00',1.41684,1.41684,1.41654,1.41655,1.419739
