timestamp,open,high,low,close,close2
'2016.03.01 00:00',0.9973,0.9975,0.9973,0.99745,0.996744
'2016.03.01 01:00',0.99742,0.99765,0.99732,0.99765,0.996866
'2016.03.01 02:00',0.99755,0.9978,0.99755,0.99778,0.997023
'2016.03.01 03:00',0.99831,0.99851,0.99825,0.9984,0.997706
'2016.03.01 04:00',0.99984,0.99992,0.99979,0.99991,0.999177
'2016.03.01 05:00',1.00037,1.00042,1.00022,1.00023,0.99961
'2016.03.01 06:00',0.99956,0.99975,0.99955,0.99971,0.998959
'2016.03.01 07:00',0.99906,0.99915,0.999,0.99902,0.998382
'2016.03.01 08:00',0.99858,0.99865,0.99856,0.99863,0.997939
'2016.03.01 09:00',0.99782,0.99818,0.99782,0.99811,0.99733
'2016.03.01 10:00',0.99718,0.99832,0.99718,0.99822,0.997088
'2016.03.01 11:00',0.99818,0.99871,0.99798,0.99858,0.997706
'2016.03.01 12:00',0.99939,0.99958,0.99939,0.99958,0.998805
'2016.03.01 13:00',0.99965,0.99966,0.99947,0.99954,0.998894
'2016.03.01 14:00',0.99848,0.99849,0.99831,0.99831,0.997732
'2016.03.01 15:00',0.99722,0.99739,0.99708,0.99714,0.996564
'2016.03.01 16:00',0.99671,0.99695,0.9967,0.99687,0.996174
'2016.03.01 17:00',0.99695,0.997,0.99693,0.99694,0.996317
'2016.03.01 18:00',0.99715,0.99742,0.99715,0.99741,0.996643
'2016.03.01 19:00',0.99665,0.99665,0.9963,0.9963,0.995841
'2016.03.01 20:00',0.99676,0.9968,0.99675,0.99679,0.996141
'2016.03.01 21:00',0.9969,0.99731,0.9969,0.99722,0.996447
'2016.03.01 22:00',0.99781,0.99781,0.99779,0.9978,0.99715
'2016.03.01 23:00',0.99807,0.99839,0.99807,0.99838,0.997572
'2016.03.02 00:00',0.99845,0.99846,0.99845,0.99846,0.997791
'2016.03.02 01:00',0.99907,0.99909,0.999,0.999,0.998364
'2016.03.02 02:00',0.99938,0.99945,0.99918,0.99942,0.998679
'2016.03.02 03:00',0.99883,0.99883,0.9987,0.9987,0.998094
'2016.03.02 04:00',0.99938,0.9994,0.99917,0.99917,0.998598
'2016.03.02 05:00',0.99813,0.99818,0.99807,0.99818,0.997483
'2016.03.02 06:00',0.99848,0.99855,0.99839,0.99852,0.997821
'2016.03.02 07:00',0.99875,0.99899,0.99873,0.99899,0.998197
'2016.03.02 08:00',0.99881,0.99906,0.99881,0.99901,0.998253
'2016.03.02 09:00',0.99938,0.99946,0.99911,0.99939,0.998657
'2016.03.02 10:00',0.99893,0.99897,0.99859,0.99875,0.998138
'2016.03.02 11:00',1.00059,1.00064,1.00039,1.00063,0.999862
'2016.03.02 12:00',0.99811,0.99814,0.99788,0.99804,0.997386
'2016.03.02 13:00',0.99708,0.99725,0.99708,0.99725,0.996526
'2016.03.02 14:00',0.99582,0.99605,0.99579,0.99605,0.995311
'2016.03.02 15:00',0.99636,0.99657,0.99636,0.99642,0.995799
'2016.03.02 16:00',0.99658,0.99662,0.99656,0.99658,0.995954
'2016.03.02 17:00',0.99626,0.99651,0.99618,0.99651,0.995741
'2016.03.02 18:00',0.99638,0.99661,0.99637,0.99661,0.995866
'2016.03.02 19:00',0.99661,0.99671,0.99656,0.99671,0.996017
'2016.03.02 20:00',0.99641,0.99644,0.99641,0.99644,0.995797
'2016.03.02 21:00',0.99629,0.99629,0.99624,0.99625,0.995641
'2016.03.02 22:00',0.99655,0.99655,0.99651,0.99654,0.995907
'2016.03.02 23:00',0.99726,0.99727,0.99721,0.99721,0.996594
'2016.03.03 00:00',0.99765,0.99766,0.99759,0.99759,0.996972
'2016.03.03 01:00',0.99778,0.99779,0.99776,0.99779,0.997128
'2016.03.03 02:00',0.99738,0.99738,0.99707,0.99709,0.996584
'2016.03.03 03:00',0.99784,0.99792,0.99749,0.99749,0.997029
'2016.03.03 04:00',0.99627,0.9965,0.99608,0.99636,0.995678
'2016.03.03 05:00',0.99764,0.99777,0.99753,0.99777,0.99703
'2016.03.03 06:00',0.99691,0.99696,0.99687,0.99692,0.996278
'2016.03.03 07:00',0.99699,0.99701,0.99681,0.99686,0.996279
'2016.03.03 08:00',0.99449,0.99449,0.994,0.9941,0.993673
'2016.03.03 09:00',0.99314,0.99334,0.9925,0.99261,0.992319
'2016.03.03 10:00',0.99192,0.99239,0.99123,0.99123,0.991129
'2016.03.03 11:00',0.9931,0.9932,0.99265,0.99279,0.99236
'2016.03.03 12:00',0.9922,0.9922,0.99187,0.99192,0.991487
'2016.03.03 13:00',0.99134,0.9914,0.99112,0.99125,0.990732
'2016.03.03 14:00',0.98942,0.98971,0.98942,0.98971,0.98905
'2016.03.03 15:00',0.99125,0.99133,0.99113,0.99121,0.990686
'2016.03.03 16:00',0.9908,0.99083,0.99067,0.99067,0.990204
'2016.03.03 17:00',0.99179,0.99181,0.99158,0.99177,0.991186
'2016.03.03 18:00',0.99172,0.99191,0.99157,0.99179,0.991197
'2016.03.03 19:00',0.99249,0.99256,0.99247,0.99247,0.991933
'2016.03.03 20:00',0.9918,0.99182,0.99179,0.9918,0.99125
'2016.03.03 21:00',0.99286,0.99287,0.9927,0.99271,0.992215
'2016.03.03 22:00',0.9931,0.9931,0.993,0.993,0.992476
'2016.03.03 23:00',0.99217,0.99225,0.99217,0.99224,0.991649
'2016.03.04 00:00',0.9922,0.99229,0.99218,0.99226,0.991674
