timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.02 09:00',0.99938,0.99946,0.99911,0.99939,0.998701,0.998541,0.000005,0.000154,0.000136
'2016.03.02 10:00',0.99893,0.99897,0.99859,0.99875,0.998708,0.998557,0.000035,0.000117,0.000071
'2016.03.02 11:00',1.00059,1.00064,1.00039,1.00063,0.999004,0.99871,0.000086,0.000207,0.000232
'2016.03.02 12:00',0.99811,0.99814,0.99788,0.99804,0.998856,0.998661,0.000108,0.000087,-0.000016
'2016.03.02 13:00',0.99708,0.99725,0.99708,0.99725,0.998609,0.998556,0.000097,-0.000045,-0.000149
'2016.03.02 14:00',0.99582,0.99605,0.99579,0.99605,0.998215,0.998371,0.000046,-0.000202,-0.000317
'2016.03.02 15:00',0.99636,0.99657,0.99636,0.99642,0.997939,0.998226,-0.00002,-0.000267,-0.000307
'2016.03.02 16:00',0.99658,0.99662,0.99656,0.99658,0.99773,0.998104,-0.000091,-0.000283,-0.000291
'2016.03.02 17:00',0.99626,0.99651,0.99618,0.99651,0.997542,0.997986,-0.000162,-0.000282,-0.000288
'2016.03.02 18:00',0.99638,0.99661,0.99637,0.99661,0.997399,0.997884,-0.000226,-0.000259,-0.000249
'2016.03.02 19:00',0.99661,0.99671,0.99656,0.99671,0.997293,0.997797,-0.000282,-0.000222,-0.000202
'2016.03.02 20:00',0.99641,0.99644,0.99641,0.99644,0.997162,0.997697,-0.000333,-0.000202,-0.000191
'2016.03.02 21:00',0.99629,0.99629,0.99624,0.99625,0.997021,0.997589,-0.00038,-0.000188,-0.000179
'2016.03.02 22:00',0.99655,0.99655,0.99651,0.99654,0.996947,0.997512,-0.000417,-0.000148,-0.000125
'2016.03.02 23:00',0.99726,0.99727,0.99721,0.99721,0.996988,0.997489,-0.000434,-0.000068,-0.000022
'2016.03.03 00:00',0.99765,0.99766,0.99759,0.99759,0.99708,0.997497,-0.00043,0.000014,0.000057
'2016.03.03 01:00',0.99778,0.99779,0.99776,0.99779,0.99719,0.997519,-0.00041,0.000081,0.000108
'2016.03.03 02:00',0.99738,0.99738,0.99707,0.99709,0.997174,0.997487,-0.000391,0.000078,0.000066
'2016.03.03 03:00',0.99784,0.99792,0.99749,0.99749,0.997223,0.997487,-0.000365,0.000101,0.000108
'2016.03.03 04:00',0.99627,0.9965,0.99608,0.99636,0.99709,0.997404,-0.000355,0.000041,-0.000017
'2016.03.03 05:00',0.99764,0.99777,0.99753,0.99777,0.997195,0.997431,-0.000331,0.000095,0.000106
'2016.03.03 06:00',0.99691,0.99696,0.99687,0.99692,0.997152,0.997393,-0.000313,0.000073,0.000041
'2016.03.03 07:00',0.99699,0.99701,0.99681,0.99686,0.997107,0.997353,-0.0003,0.000054,0.000028
'2016.03.03 08:00',0.99449,0.99449,0.994,0.9941,0.996645,0.997112,-0.000333,-0.000134,-0.000256
'2016.03.03 09:00',0.99314,0.99334,0.9925,0.99261,0.996024,0.996779,-0.000418,-0.000337,-0.000449
'2016.03.03 10:00',0.99192,0.99239,0.99123,0.99123,0.995286,0.996368,-0.00055,-0.000531,-0.000611
'2016.03.03 11:00',0.9931,0.9932,0.99265,0.99279,0.994902,0.996103,-0.00068,-0.00052,-0.000486
'2016.03.03 12:00',0.9922,0.9922,0.99187,0.99192,0.994444,0.995793,-0.000814,-0.000535,-0.000517
'2016.03.03 13:00',0.99134,0.9914,0.99112,0.99125,0.993952,0.995456,-0.000952,-0.000552,-0.000538
'2016.03.03 14:00',0.98942,0.98971,0.98942,0.98971,0.9933,0.995031,-0.001108,-0.000623,-0.000648
'2016.03.03 15:00',0.99125,0.99133,0.99113,0.99121,0.992978,0.994748,-0.00124,-0.000529,-0.00044
'2016.03.03 16:00',0.9908,0.99083,0.99067,0.99067,0.992623,0.994446,-0.001357,-0.000466,-0.000397
'2016.03.03 17:00',0.99179,0.99181,0.99158,0.99177,0.992492,0.994248,-0.001437,-0.000319,-0.000211
'2016.03.03 18:00',0.99172,0.99191,0.99157,0.99179,0.992384,0.994065,-0.001486,-0.000196,-0.000109
'2016.03.03 19:00',0.99249,0.99256,0.99247,0.99247,0.992397,0.993947,-0.001499,-0.000052,0.000046
'2016.03.03 20:00',0.9918,0.99182,0.99179,0.9918,0.992305,0.993788,-0.001495,0.000012,0.000052
'2016.03.03 21:00',0.99286,0.99287,0.9927,0.99271,0.992367,0.993708,-0.001465,0.000124,0.000191
'2016.03.03 22:00',0.9931,0.9931,0.993,0.993,0.992465,0.993656,-0.00141,0.000219,0.000268
'2016.03.03 23:00',0.99217,0.99225,0.99217,0.99224,0.99243,0.993551,-0.001352,0.000231,0.000221
'2016.03.04 00:00',0.9922,0.99229,0.99218,0.99226,0.992404,0.993455,-0.001292,0.000241,0.000227
'2016.03.04 01:00',0.99206,0.99206,0.99206,0.99206,0.992351,0.993352,-0.001234,0.000233,0.00021
'2016.03.04 02:00',0.99192,0.99192,0.99159,0.99161,0.992237,0.993223,-0.001184,0.000198,0.000166
'2016.03.04 03:00',0.99247,0.9928,0.99242,0.99249,0.992276,0.993169,-0.001126,0.000233,0.000243
'2016.03.04 04:00',0.99418,0.99421,0.99392,0.99397,0.992537,0.993228,-0.001039,0.000348,0.000401
'2016.03.04 05:00',0.9927,0.9927,0.99251,0.99255,0.992539,0.993178,-0.000959,0.00032,0.000279
'2016.03.04 06:00',0.99129,0.99129,0.9911,0.99117,0.992328,0.993029,-0.000907,0.000206,0.000114
'2016.03.04 07:00',0.99209,0.99209,0.99196,0.99207,0.992288,0.992958,-0.00086,0.00019,0.000159
