timestamp,open,high,low,close,close2
'2016.03.01 00:00',112.614,112.626,112.598,112.616,114.508417
'2016.03.01 01:00',112.61,112.635,112.608,112.633,114.514404
'2016.03.01 02:00',112.675,112.839,112.673,112.763,114.535606
'2016.03.01 03:00',112.954,112.965,112.907,112.907,114.625297
'2016.03.01 04:00',113.22,113.221,113.194,113.196,114.761384
'2016.03.01 05:00',113.097,113.122,113.097,113.105,114.716629
'2016.03.01 06:00',113.168,113.183,113.168,113.177,114.752933
'2016.03.01 07:00',113.055,113.072,113.054,113.067,114.702776
'2016.03.01 08:00',113.061,113.073,113.056,113.067,114.703527
'2016.03.01 09:00',113.004,113.053,113.004,113.027,114.676105
'2016.03.01 10:00',113.169,113.368,113.169,113.366,114.80859
'2016.03.01 11:00',113.594,113.633,113.578,113.61,114.952328
'2016.03.01 12:00',113.933,113.96,113.933,113.96,115.137316
'2016.03.01 13:00',114.004,114.004,113.981,113.995,115.159939
'2016.03.01 14:00',114.092,114.104,114.087,114.094,115.210005
'2016.03.01 15:00',114.056,114.059,114.047,114.051,115.189178
'2016.03.01 16:00',113.85,113.868,113.85,113.864,115.088214
'2016.03.01 17:00',114.019,114.019,113.988,113.995,115.157264
'2016.03.01 18:00',114.042,114.046,114.02,114.02,115.169237
'2016.03.01 19:00',113.917,113.921,113.875,113.875,115.089639
'2016.03.01 20:00',113.93,113.955,113.926,113.954,115.13443
'2016.03.01 21:00',114.047,114.047,114.016,114.031,115.177906
'2016.03.01 22:00',113.977,113.99,113.977,113.987,115.153856
'2016.03.01 23:00',113.878,113.888,113.877,113.886,115.101612
'2016.03.02 00:00',113.857,113.862,113.843,113.859,115.088571
'2016.03.02 01:00',113.891,113.929,113.877,113.917,115.110539
'2016.03.02 02:00',114.357,114.357,114.259,114.319,115.332075
'2016.03.02 03:00',114.247,114.249,114.181,114.236,115.289898
'2016.03.02 04:00',114.368,114.386,114.361,114.361,115.353015
'2016.03.02 05:00',114.347,114.35,114.332,114.336,115.344467
'2016.03.02 06:00',114.319,114.327,114.313,114.325,115.339445
'2016.03.02 07:00',114.369,114.377,114.363,114.376,115.368364
'2016.03.02 08:00',114.338,114.359,114.332,114.359,115.356154
'2016.03.02 09:00',114.237,114.244,114.19,114.206,115.267235
'2016.03.02 10:00',113.901,113.92,113.842,113.917,115.116596
'2016.03.02 11:00',113.917,113.936,113.9,113.928,115.120872
