@RELATION forexPrice

@ATTRIBUTE open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE close real
@ATTRIBUTE close2 real
@data
1.20965,1.2097,1.20961,1.20961,1.21002
1.21,1.21002,1.20983,1.21002,1.21044
1.21042,1.21044,1.21042,1.21044,1.2101
1.2101,1.21011,1.2101,1.2101,1.20877
1.20871,1.20877,1.20871,1.20877,1.20641
1.20641,1.20648,1.20634,1.20641,1.20666
1.20671,1.20671,1.20655,1.20666,1.20585
1.20586,1.20593,1.20584,1.20585,1.20567
1.20567,1.20574,1.20564,1.20567,1.20527
1.20525,1.20527,1.20525,1.20527,1.20496
1.20499,1.20499,1.20494,1.20496,1.20473
1.20502,1.20502,1.20468,1.20473,1.20606
1.20623,1.20625,1.20585,1.20606,1.20445
1.20483,1.20485,1.20426,1.20445,1.2054
1.20508,1.20549,1.20505,1.2054,1.20535
1.20509,1.20535,1.20509,1.20535,1.20494
1.20529,1.20536,1.20494,1.20494,1.20383
1.20382,1.20384,1.20378,1.20383,1.20335
1.20326,1.20335,1.20306,1.20335,1.20278
1.20275,1.20281,1.20253,1.20278,1.20294
1.20301,1.20306,1.20294,1.20294,1.20146
1.20157,1.20157,1.2014,1.20146,1.20097
1.20086,1.20098,1.2008,1.20097,1.20098
1.20115,1.20116,1.20098,1.20098,1.20056
1.20057,1.20059,1.20054,1.20056,1.20044
1.2004,1.20046,1.20039,1.20044,1.18836
1.19098,1.19112,1.18664,1.18836,1.19421
1.19416,1.19431,1.19407,1.19421,1.19617
1.19535,1.19624,1.19534,1.19617,1.19609
1.19583,1.19618,1.19583,1.19609,1.19571
1.19564,1.19578,1.19563,1.19571,1.19536
1.19545,1.19545,1.19525,1.19536,1.19405
1.19376,1.19407,1.19371,1.19405,1.19389
1.19404,1.1941,1.19389,1.19389,1.19338
1.19321,1.19339,1.19321,1.19338,1.19495
1.19503,1.19504,1.19492,1.19495,1.19652
1.1961,1.19654,1.19602,1.19652,1.19453
1.19454,1.19479,1.19435,1.19453,1.19555
1.19531,1.19559,1.19531,1.19555,1.19205
1.19178,1.19206,1.19177,1.19205,1.19092
1.19082,1.19092,1.19072,1.19092,1.18975
1.18944,1.18989,1.18943,1.18975,1.19117
1.19121,1.19127,1.19117,1.19117,1.1936
1.19373,1.19378,1.19349,1.1936,1.19315
1.19325,1.19332,1.19315,1.19315,1.19138
1.19154,1.19154,1.19136,1.19138,1.19169
1.19201,1.19201,1.19169,1.19169,1.19345
1.19356,1.19356,1.19341,1.19345,1.1939
1.19392,1.19392,1.19388,1.1939,1.19389
1.19388,1.19389,1.19382,1.19389,1.19329
1.19314,1.19329,1.19314,1.19329,1.19336
1.19338,1.19338,1.19332,1.19336,1.19386
1.19386,1.19387,1.19382,1.19386,1.19409
1.1941,1.19414,1.19408,1.19409,1.19426
1.19422,1.19427,1.19421,1.19426,1.19491
1.19466,1.19491,1.19466,1.19491,1.19441
1.19432,1.19441,1.19432,1.19441,1.19492
1.19488,1.19496,1.19488,1.19492,1.19566
1.19572,1.19572,1.19566,1.19566,1.19608
1.1962,1.1962,1.19605,1.19608,1.19372
1.19404,1.19404,1.19356,1.19372,1.19349
1.1939,1.19392,1.19338,1.19349,1.19086
1.19079,1.19108,1.19079,1.19086,1.19027
1.19008,1.19031,1.19006,1.19027,1.1896
1.189,1.18961,1.189,1.1896,1.19081
1.19045,1.19094,1.19043,1.19081,1.19065
1.19075,1.19075,1.1905,1.19065,1.19164
1.19248,1.1925,1.19164,1.19164,1.19169
1.19207,1.19207,1.19167,1.19169,1.19379
1.1941,1.19414,1.19377,1.19379,1.19272
1.19252,1.19275,1.19251,1.19272,1.1935
1.1935,1.19353,1.19347,1.1935,1.19109
1.19119,1.19119,1.19108,1.19109,1.18981
1.18983,1.18983,1.18978,1.18981,1.18892
1.18888,1.18897,1.18882,1.18892,1.18781
1.18773,1.18784,1.18772,1.18781,1.18789
1.18738,1.18813,1.18738,1.18789,1.18708
1.18704,1.1871,1.18701,1.18708,1.1875
1.18751,1.18751,1.18732,1.1875,1.18667
1.18677,1.18677,1.18667,1.18667,1.18751
1.18752,1.18753,1.18751,1.18751,1.18761
1.18762,1.18762,1.18761,1.18761,1.18799
1.18796,1.18799,1.18792,1.18799,1.1863
1.18652,1.18659,1.1863,1.1863,1.18899
1.18939,1.18951,1.18898,1.18899,1.18681
1.18684,1.18693,1.18675,1.18681,1.18648
1.18592,1.18662,1.18564,1.18648,1.18523
1.18474,1.18523,1.18472,1.18523,1.1827
1.18256,1.18278,1.18256,1.1827,1.18313
1.18329,1.18329,1.18299,1.18313,1.18278
1.18282,1.18289,1.18273,1.18278,1.1818
1.18189,1.18189,1.18159,1.1818,1.18034
1.18063,1.18064,1.18034,1.18034,1.18201
1.1819,1.18211,1.1819,1.18201,1.18287
1.18283,1.18288,1.18282,1.18287,1.18268
1.18227,1.18269,1.1816,1.18268,1.18492
1.1849,1.18503,1.18483,1.18492,1.18344
1.18344,1.1835,1.18343,1.18344,1.18381
1.18381,1.18381,1.18381,1.18381,1.1832
1.18317,1.18327,1.1831,1.1832,1.18365
1.18366,1.18367,1.18364,1.18365,1.18385
1.18389,1.18391,1.18377,1.18385,1.18264
1.18265,1.18267,1.18264,1.18264,1.18199
1.18201,1.18207,1.18199,1.18199,1.18281
1.18279,1.18292,1.18279,1.18281,1.18258
1.18228,1.18266,1.18228,1.18258,1.18186
1.18186,1.18198,1.18186,1.18186,1.18134
1.18155,1.1817,1.18134,1.18134,1.18196
