@RELATION unlabeledMACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}
@data
-6.795813609824467E-5,-1.1854581055341178E-4,?
-1.1854581055341178E-4,-1.3132853785101492E-4,?
-1.3132853785101492E-4,-1.4242079965808376E-4,?
-1.4242079965808376E-4,-1.2665854105219662E-4,?
-1.2665854105219662E-4,-1.2395811787272912E-4,?
-1.2395811787272912E-4,-1.2483639864212226E-4,?
-1.2483639864212226E-4,-1.6400324175814814E-4,?
-1.6400324175814814E-4,-2.9302652706642885E-4,?
-2.9302652706642885E-4,-5.277363297850072E-4,?
-5.277363297850072E-4,-6.926517860545778E-4,?
-6.926517860545778E-4,-7.487144729709181E-4,?
-7.487144729709181E-4,-7.089306234902402E-4,?
-7.089306234902402E-4,-6.06989054135841E-4,?
-6.06989054135841E-4,-4.5983789862920387E-4,?
-4.5983789862920387E-4,-2.5017278867510743E-4,?
-2.5017278867510743E-4,-8.130719385998327E-5,?
-8.130719385998327E-5,3.991744790650365E-5,?
3.991744790650365E-5,2.454512719021748E-4,?
2.454512719021748E-4,3.6039203809550257E-4,?
3.6039203809550257E-4,4.3148751527203526E-4,?
4.3148751527203526E-4,4.084880910923799E-4,?
4.084880910923799E-4,3.8996593367536064E-4,?
3.8996593367536064E-4,3.488051256525256E-4,?
3.488051256525256E-4,2.9992298325292195E-4,?
2.9992298325292195E-4,2.3021120971570617E-4,?
2.3021120971570617E-4,1.6652795132102323E-4,?
1.6652795132102323E-4,1.1022025681459841E-4,?
1.1022025681459841E-4,5.230147805999609E-5,?
5.230147805999609E-5,1.2244311305384858E-5,?
1.2244311305384858E-5,-4.972937901410351E-6,?
-4.972937901410351E-6,-6.960678287134007E-6,?
-6.960678287134007E-6,-1.683996012757807E-4,?
-1.683996012757807E-4,-1.2864782428899808E-4,?
-1.2864782428899808E-4,4.754110243424193E-5,?
4.754110243424193E-5,1.5312109413845478E-4,?
1.5312109413845478E-4,2.1302833818790523E-4,?
2.1302833818790523E-4,1.8324692000060703E-4,?
1.8324692000060703E-4,2.119893618319368E-4,?
2.119893618319368E-4,1.190702560419545E-4,?
1.190702560419545E-4,5.086030941158556E-5,?
5.086030941158556E-5,2.457170120181919E-5,?
2.457170120181919E-5,7.757297185981781E-5,?
7.757297185981781E-5,1.8369815019106243E-4,?
1.8369815019106243E-4,2.514062284842954E-4,?
2.514062284842954E-4,2.7942565825416117E-4,?
2.7942565825416117E-4,2.606798438372763E-4,?
2.606798438372763E-4,2.2513638095641335E-4,?
